source,target,weight
Meteor,Express,0
Restify,Docker,0
React,Restify,0
jQuery,Google Cloud Functions,0
CouchDB,JSON file,0
jQuery,Kubernetes,0
Angular,Apache HTTP,0
Redis,Circle,0
PostgreSQL,Circle,0
MySQL,Google Cloud Functions,0
Redis,Google Cloud Functions,0
jQuery,Restify,0
Restify,Nginx,0
GraphQL,Kubernetes,0
jQuery,Koa,0
Hapi,AWS Lambda,0
CouchDB,Docker,0
MariaDB,pm2,0
AWS Lambda,Travis,0
SQLite,Apache HTTP,0
CouchDB,Express,0
Restify,pm2,0
MariaDB,SQLite,0
Koa,pm2,0
Hapi,Jenkins,0
Kubernetes,pm2,0
ElasticSearch,Travis,0
React,HAProxy,0
PostgreSQL,Kubernetes,0
ElasticSearch,Kubernetes,0
Kubernetes,Jenkins,0
ElasticSearch,RabbitMQ,0
Redis,HAProxy,0
RabbitMQ,Jenkins,0
HAProxy,pm2,0
MySQL,HAProxy,0
Vue,Travis,0
SQLite,Vue,0
Vue,GraphQL,0
Circle,Travis,0
JSON file,Meteor,0
React,Meteor,0
Meteor,Docker,0
Circle,pm2,0
SQLite,Angular,0
SQLite,Travis,0
Node,Azure Functions,0
Node,Ember,0
Hapi,GraphQL,0
Koa,Jenkins,0
Angular,Kubernetes,0
ElasticSearch,Hapi,0
Vue,Koa,0
GraphQL,Koa,0
Kubernetes,Travis,0
PostgreSQL,Google Cloud Functions,0
Koa,Kubernetes,0
Ember,Express,0
Kubernetes,AWS Lambda,0
Angular,Hapi,0
Google Cloud Functions,pm2,0
AWS Lambda,Google Cloud Functions,0
Koa,AWS Lambda,0
Restify,Jenkins,0
CouchDB,Nginx,0
SQLite,AWS Lambda,0
Koa,Travis,0
Angular,RabbitMQ,0
MariaDB,ElasticSearch,0
ElasticSearch,SQLite,0
Hapi,Kubernetes,0
AWS Lambda,Apache HTTP,0
ElasticSearch,Google Cloud Functions,0
Redis,Restify,0
CouchDB,React,0
RabbitMQ,Travis,0
Node,Cassandra,0
Jenkins,HAProxy,0
Cassandra,Docker,0
ElasticSearch,HAProxy,0
Cassandra,Express,0
MongoDB,Cassandra,0
Redis,Cassandra,0
MySQL,Restify,0
MongoDB,CouchDB,0
PostgreSQL,Restify,0
MariaDB,Apache HTTP,0
Redis,CouchDB,0
GraphQL,RabbitMQ,0
Hapi,RabbitMQ,0
PostgreSQL,HAProxy,0
SQLite,RabbitMQ,0
MariaDB,Travis,0
ElasticSearch,Apache HTTP,0
MySQL,CouchDB,0
Koa,RabbitMQ,0
RabbitMQ,Kubernetes,0
Vue,Hapi,0
Angular,Google Cloud Functions,0
GraphQL,Apache HTTP,0
GraphQL,Circle,0
GraphQL,Google Cloud Functions,0
Angular 2,Kubernetes,0
JSON file,Azure Functions,0
jQuery,Circle,0
Vue,Apache HTTP,0
MariaDB,GraphQL,0
MongoDB,Ember,0
Meteor,GraphQL,0
Meteor,Nginx,0
AWS Lambda,Circle,0
Node,Codeship,0
Angular 2,Hapi,0
Angular 2,Google Cloud Functions,0
Vue,Circle,0
React,Codeship,0
Angular,Restify,0
CouchDB,Vue,0
Docker,Azure Functions,0
Angular,Circle,0
jQuery,Meteor,0
Circle,Jenkins,0
PostgreSQL,Meteor,0
Express,Codeship,0
Hapi,Circle,0
MariaDB,Angular,0
PostgreSQL,CouchDB,0
MariaDB,Jenkins,0
ElasticSearch,Circle,0
Google Cloud Functions,Travis,0
CouchDB,jQuery,0
React,Ember,0
Cassandra,Nginx,0
CouchDB,Travis,0
SQLite,Kubernetes,0
MariaDB,Vue,0
MySQL,Circle,0
jQuery,HAProxy,0
MySQL,Meteor,0
MariaDB,Angular 2,0
Cassandra,JSON file,0
Hapi,Koa,0
Vue,Google Cloud Functions,0
MongoDB,Codeship,0
SQLite,Restify,0
Vue,Restify,0
Vue,RabbitMQ,0
Redis,Meteor,0
SQLite,HAProxy,0
MariaDB,AWS Lambda,0
CouchDB,pm2,0
Redis,Codeship,0
GraphQL,HAProxy,0
CouchDB,AWS Lambda,0
Vue,HAProxy,0
Angular 2,Travis,0
Angular 2,Koa,0
MongoDB,Azure Functions,0
Angular 2,Restify,0
JSON file,Ember,0
ElasticSearch,Koa,0
ElasticSearch,Restify,0
Angular 2,RabbitMQ,0
Restify,AWS Lambda,0
Kubernetes,HAProxy,0
AWS Lambda,HAProxy,0
RabbitMQ,HAProxy,0
Ember,Docker,0
RabbitMQ,Apache HTTP,0
